"Symbol","Ensembl","EntrezGeneID","Uniprot","Name","Protein_Coverage","Number_of_Unique_Peptides","Number_of_Peptides","M197vsM398","M197vsM180","M197vsM194","M202vsM194","M418vsM194","M202vsM180","M202vsM398","M418vsM180","M418vsM398","Number_of_ratios","Ratio_mean","Ratio_SEM","pvalue","FDR"
"21946","NAE1","ENSG00000159593",8883,"Q13564","NEDD8 activating enzyme E1 subunit 1",11.61,5,5,1.1,0.728,0.749,1.072,1.402,0.853,1.386,1.042,1.459,9,1.09,0.09,0.251,0.428
"21952","SNW1","ENSG00000100603",22938,"Q13573","SNW domain containing 1",26.68,12,13,1.218,1.437,1.355,1.019,1.002,1.199,0.94,1.076,0.859,9,1.12,0.06,0.279,0.458
"21953","DGKZ","ENSG00000149091",8525,"Q13574","diacylglycerol kinase zeta",3.85,3,3,0,0,0,1.84,2.645,0.794,0.926,1.135,1.331,6,1.45,0.28,0.064,0.185
"21954","IQGAP2","ENSG00000145703",10788,"Q13576","IQ motif containing GTPase activating protein 2",3.05,1,6,1.169,1.108,1.223,1.603,1.286,1.436,1.513,1.147,1.214,9,1.3,0.06,0.001,0.011
"21956","STIM1","ENSG00000167323",6786,"Q13586","stromal interaction molecule 1",16.64,8,8,1.687,2.068,1.447,1.164,0.808,1.456,1.292,1.153,0.932,9,1.33,0.13,0.075,0.205
"21959","TRA2A","ENSG00000164548",29896,"Q13595","transformer 2 alpha homolog",19.86,3,4,1.045,1.503,1.347,1.21,0.986,1.082,0.861,1.042,0.794,9,1.1,0.08,0.542,0.708
"21960","SNX1","ENSG00000028528",6642,"Q13596","sorting nexin 1",31.8,14,16,1.451,1.231,1.043,1.08,1.121,1.127,1.479,1.256,1.546,9,1.26,0.06,0.001,0.016
"21961","KRR1","ENSG00000111615",11103,"Q13601","KRR1 small subunit processome component homolog",3.67,2,2,0.942,1.093,1.072,0.939,0.831,0.886,0.902,0.812,0.817,9,0.92,0.03,0.04,0.14
"21967","PWP1","ENSG00000136045",11137,"Q13610","PWP1 homolog, endonuclein",7.39,3,3,1.03,1.143,1.115,1.183,1.169,1.198,1.079,1.178,1.065,9,1.13,0.02,0,0.009
"21968","MTMR1","ENSG00000063601",8776,"Q13613","myotubularin related protein 1",4.06,2,2,0,0,0,1.582,1.762,1.043,1.09,0.989,1.038,6,1.25,0.14,0.117,0.266
"21971","CUL1","ENSG00000055130",8454,"Q13616","cullin 1",8.76,6,6,0.877,0.573,0.391,0.502,0.498,0.826,1.07,0.815,1.06,9,0.73,0.08,0.03,0.116
"21972","CUL2","ENSG00000108094",8453,"Q13617","cullin 2",10.34,8,9,1.055,0.848,0.566,0.597,0.666,0.886,1.078,1.118,1.392,9,0.91,0.09,0.477,0.654
"21973","CUL3","ENSG00000036257",8452,"Q13618","cullin 3",8.46,7,7,0.6,0.468,0.45,1.05,1.161,0.848,1.086,0.96,1.236,9,0.87,0.1,0.283,0.463
"21974","CUL4A","ENSG00000139842",8451,"Q13619","cullin 4A",7.77,2,6,1.352,0.979,1.138,1.047,0.678,0.889,1.227,0.755,0.633,9,0.97,0.08,0.345,0.527
"21975","CUL4B","ENSG00000158290",8450,"Q13620","cullin 4B",17.42,9,14,1.17,0.865,0.709,0.777,0.697,0.938,1.241,0.823,1.095,9,0.92,0.07,0.289,0.469
"21977","TP53BP2","ENSG00000143514",7159,"Q13625","tumor protein p53 binding protein 2",4.43,4,4,1.217,0.93,1.36,1.201,0,0.812,1.062,0,0,6,1.1,0.08,0.11,0.256
"21979","TSTA3","ENSG00000278243",7264,"Q13630","tissue specific transplantation antigen P35B",16.2,4,4,0.809,0.751,0.915,1.06,1.37,0.866,0.943,1.004,1.298,9,1,0.07,0.728,0.838
"21980","TSTA3","ENSG00000104522",7264,"Q13630","tissue specific transplantation antigen P35B",16.2,4,4,0.809,0.751,0.915,1.06,1.37,0.866,0.943,1.004,1.298,9,1,0.07,0.728,0.838
"21983","RAB31","ENSG00000168461",11031,"Q13636","RAB31, member RAS oncogene family",26.29,4,4,0.624,0.992,0.891,1.249,0.831,1.602,0.864,1.004,0.575,9,0.96,0.1,0.058,0.175
"21984","RAB32","ENSG00000118508",10981,"Q13637","RAB32, member RAS oncogene family",10.67,2,2,1.502,1.603,1.388,0.877,0.522,1.001,0.937,0.718,0.799,9,1.04,0.12,0.756,0.857
"21986","TPBG","ENSG00000283085",7162,"Q13641","trophoblast glycoprotein",4.29,2,2,1.399,1.962,1.14,0.922,0.861,1.568,1.116,1.456,1.042,9,1.27,0.12,0.094,0.233
"21987","TPBG","ENSG00000146242",7162,"Q13641","trophoblast glycoprotein",4.29,2,2,1.399,1.962,1.14,0.922,0.861,1.568,1.116,1.456,1.042,9,1.27,0.12,0.094,0.233
"21988","FHL1","ENSG00000022267",2273,"Q13642","four and a half LIM domains 1",3.72,1,1,0.596,0.992,1.728,2.283,1.991,1.295,0.777,1.124,0.677,9,1.27,0.2,0.656,0.794
"21989","FHL3","ENSG00000183386",2275,"Q13643","four and a half LIM domains 3",12.14,4,4,0.793,1.09,1.128,1.173,1.416,1.175,0.946,1.271,0.995,9,1.11,0.06,0.242,0.418
"22001","AAMP","ENSG00000127837",14,"Q13685","angio associated migratory cell protein",8.53,3,3,3.322,1.565,1.253,0.913,0.686,1.127,2.389,0.842,1.793,9,1.54,0.28,0.067,0.192
"22003","CACNA1S","ENSG00000081248",779,"Q13698","calcium voltage-gated channel subunit alpha1 S",1.12,2,2,0.569,0.754,1.929,2.594,2.597,1.002,0.755,0.998,0.756,9,1.33,0.27,0.602,0.754
"22006","MOGS","ENSG00000115275",7841,"Q13724","mannosyl-oligosaccharide glucosidase",17.2,12,12,0.872,1.173,1.065,0.925,0.976,1.031,0.802,1.098,0.768,9,0.97,0.05,0.213,0.387
"22008","ALCAM","ENSG00000170017",214,"Q13740","activated leukocyte cell adhesion molecule",10.63,7,7,1.375,1.34,1.577,1.11,1.279,1.088,1.051,1.041,1.187,9,1.23,0.06,0.002,0.023
"22015","THOC5","ENSG00000100296",8563,"Q13769","THO complex 5",4.54,3,3,1.308,0.995,1.232,0.845,1.442,0.776,1.089,0.76,1.228,9,1.08,0.08,0.208,0.381
"22020","SHROOM2","ENSG00000146950",357,"Q13796","shroom family member 2",2.6,3,3,0,0,1.118,0,0,0,0,0,0,1,0,0,0,0
"22022","SPTAN1","ENSG00000197694",6709,"Q13813","spectrin alpha, non-erythrocytic 1",46.24,108,109,0.867,1.066,1.375,1.573,1.618,1.209,0.981,1.238,1.01,9,1.22,0.09,0.072,0.2
"22024","GNL2","ENSG00000134697",29889,"Q13823","G protein nucleolar 2",6.29,4,4,0.81,0.794,1.129,1.788,1.559,1.318,1.083,1.024,0.996,9,1.17,0.11,0.345,0.527
"22025","AUH","ENSG00000148090",549,"Q13825","AU RNA binding methylglutaconyl-CoA hydratase",15.04,5,5,0.89,1.25,1.298,1.306,1.096,1.236,0.929,1.038,0.782,9,1.09,0.06,0.684,0.812
"22028","DDX39B","ENSG00000225073",7919,"Q13838","DExD-box helicase 39B",36.92,6,15,1.019,1.103,1.12,1.075,1.099,1.266,0.946,1.09,0.975,9,1.08,0.03,0.076,0.207
"22029","DDX39B","ENSG00000198563",7919,"Q13838","DExD-box helicase 39B",36.92,6,15,1.019,1.103,1.12,1.075,1.099,1.266,0.946,1.09,0.975,9,1.08,0.03,0.076,0.207
"22030","DDX39B","ENSG00000235439",7919,"Q13838","DExD-box helicase 39B",36.92,6,15,1.019,1.103,1.12,1.075,1.099,1.266,0.946,1.09,0.975,9,1.08,0.03,0.076,0.207
"22031","DDX39B","ENSG00000215425",7919,"Q13838","DExD-box helicase 39B",36.92,6,15,1.019,1.103,1.12,1.075,1.099,1.266,0.946,1.09,0.975,9,1.08,0.03,0.076,0.207
"22032","DDX39B","ENSG00000225859",7919,"Q13838","DExD-box helicase 39B",36.92,6,15,1.019,1.103,1.12,1.075,1.099,1.266,0.946,1.09,0.975,9,1.08,0.03,0.076,0.207
"22033","DDX39B","ENSG00000229496",7919,"Q13838","DExD-box helicase 39B",36.92,6,15,1.019,1.103,1.12,1.075,1.099,1.266,0.946,1.09,0.975,9,1.08,0.03,0.076,0.207
"22034","DDX39B","ENSG00000230624",7919,"Q13838","DExD-box helicase 39B",36.92,6,15,1.019,1.103,1.12,1.075,1.099,1.266,0.946,1.09,0.975,9,1.08,0.03,0.076,0.207
"22035","DDX39B","ENSG00000237889",7919,"Q13838","DExD-box helicase 39B",36.92,6,15,1.019,1.103,1.12,1.075,1.099,1.266,0.946,1.09,0.975,9,1.08,0.03,0.076,0.207
"22036","BLMH","ENSG00000108578",642,"Q13867","bleomycin hydrolase",15.6,7,7,0.972,0.896,1.047,1.324,1.177,1.068,1.17,0.967,1.003,9,1.07,0.04,0.224,0.399
"22037","EXOSC2","ENSG00000130713",23404,"Q13868","exosome component 2",16.04,4,4,0.804,0.83,0.882,1.296,1.28,1.013,1.126,0.996,1.111,9,1.04,0.06,0.606,0.757
"22042","SNTB1","ENSG00000172164",6641,"Q13884","syntrophin beta 1",17.84,6,7,0.673,0.751,2.262,2.542,2.483,0.91,0.699,0.862,0.731,9,1.32,0.28,0.622,0.77
"22043","TUBB2A","ENSG00000137267",7280,"Q13885","tubulin beta 2A class IIa",57.98,1,21,1.152,1.272,0.631,0.66,0.864,1.459,1.266,1.629,1.587,9,1.17,0.13,0.396,0.577
"22046","GTF2H2","ENSG00000145736",2966,"Q13888","general transcription factor IIH subunit 2",5.82,2,2,0.525,0.765,0.895,1.276,1.964,1.078,0.74,1.65,1.138,9,1.11,0.15,0.8,0.885
"22047","GTF2H2","ENSG00000276910",2966,"Q13888","general transcription factor IIH subunit 2",5.82,2,2,0.525,0.765,0.895,1.276,1.964,1.078,0.74,1.65,1.138,9,1.11,0.15,0.8,0.885
"22048","GTF2H2","ENSG00000275045",2966,"Q13888","general transcription factor IIH subunit 2",5.82,2,2,0.525,0.765,0.895,1.276,1.964,1.078,0.74,1.65,1.138,9,1.11,0.15,0.8,0.885
"22050","BYSL","ENSG00000112578",705,"Q13895","bystin like",14.42,6,6,1.047,0.847,1.008,0.79,1.003,0.803,0.955,0.794,1.125,9,0.93,0.04,0.341,0.523
"22052","RAPGEF1","ENSG00000107263",2889,"Q13905","Rap guanine nucleotide exchange factor 1",3.99,2,2,0.838,0.997,1.699,2.126,1.927,1.233,1.035,1.112,0.938,9,1.32,0.16,0.123,0.274
"22053","IDI1","ENSG00000067064",3422,"Q13907","isopentenyl-diphosphate delta isomerase 1",23.35,6,6,1.214,0.807,1.245,1.728,2.047,1.085,1.532,1.197,1.912,9,1.42,0.14,0.006,0.043
"22058","CUX1","ENSG00000257923",1523,"Q13948","cut like homeobox 1",15.78,2,10,1.349,1.398,1.173,0.896,1.068,1.056,1.018,1.252,1.213,9,1.16,0.05,0.012,0.065
"22060","CBFB","ENSG00000067955",865,"Q13951","core-binding factor subunit beta",18.13,3,3,1.255,0.715,0.905,0.887,0.913,0.884,1.464,0.863,1.507,9,1.04,0.1,0.485,0.661
"22061","NFYC","ENSG00000066136",4802,"Q13952","nuclear transcription factor Y subunit gamma",4.37,2,2,0.948,0.785,0.932,1.261,1.237,1.049,1.266,1.024,1.242,9,1.08,0.06,0.197,0.369
"22068","CDK13","ENSG00000065883",8621,"Q14004","cyclin dependent kinase 13",5.36,5,5,0.975,0.976,0.966,1.335,1.267,1.333,1.33,1.259,1.262,9,1.19,0.06,0.011,0.063
"22070","CKAP5","ENSG00000175216",9793,"Q14008","cytoskeleton associated protein 5",10.97,18,18,1.426,0.873,0.684,0.636,0.807,0.724,1.189,0.914,1.518,9,0.97,0.11,0.952,0.974
"22071","CIRBP","ENSG00000099622",1153,"Q14011","cold inducible RNA binding protein",12.79,2,2,0.808,1.361,1.2,1.039,1.085,1.305,0.69,1.29,0.72,9,1.06,0.09,0.706,0.826
"22072","CAMK1","ENSG00000134072",8536,"Q14012","calcium/calmodulin dependent protein kinase I",4.59,1,1,0.843,0.552,0.764,0.774,0.767,0.553,0.843,0.545,0.835,9,0.72,0.04,0.001,0.017
"22073","COTL1","ENSG00000103187",23406,"Q14019","coactosin like F-actin binding protein 1",47.89,8,8,1.419,1.221,0.817,0.942,0.842,1.378,1.756,1.169,1.564,9,1.23,0.11,0.078,0.209
"22080","COX17","ENSG00000138495",10063,"Q14061","cytochrome c oxidase copper chaperone COX17",11.11,1,1,1.148,1.042,1.824,2.241,2.143,1.265,1.393,1.204,1.331,9,1.51,0.15,0.003,0.03
"22084","HNRNPD","ENSG00000138668",3184,"Q14103","heterogeneous nuclear ribonucleoprotein D",43.1,15,18,0.925,1.099,1.348,1.328,1.296,1.245,0.973,1.109,0.876,9,1.13,0.06,0.199,0.371
"22086","SCARB2","ENSG00000138760",950,"Q14108","scavenger receptor class B member 2",14.85,8,8,1.11,1.351,1.159,0.89,0.907,1.069,0.927,0.937,0.825,9,1.02,0.06,0.772,0.867
"22087","NID2","ENSG00000087303",22795,"Q14112","nidogen 2",6.11,7,7,0.485,0.908,1.38,1.631,1.465,1.47,0.907,1.348,0.952,9,1.17,0.12,0.665,0.801
"22091","DAG1","ENSG00000173402",1605,"Q14118","dystroglycan 1",11.28,7,7,0.856,1.215,1.599,1.642,1.685,1.194,0.914,1.328,0.954,9,1.27,0.11,0.08,0.211
"22094","DSG2","ENSG00000046604",1829,"Q14126","desmoglein 2",16.99,14,14,0.616,1.097,0.609,0.333,0.365,0.522,0.286,0.642,0.348,9,0.54,0.08,0.001,0.014
"22095","DGCR6","ENSG00000183628",8214,"Q14129","DiGeorge syndrome critical region gene 6",4.55,1,1,0.716,1.134,1.266,1.227,0,0.995,0.662,0,0,6,1,0.11,0.801,0.885
"22098","BOP1","ENSG00000285301",23246,"Q14137","BOP1 ribosomal biogenesis factor",17.02,10,10,0.878,0.792,1.034,0.882,1.145,0.898,0.955,0.925,1.029,9,0.95,0.04,0.271,0.45
"22099","BOP1","ENSG00000261236",23246,"Q14137","BOP1 ribosomal biogenesis factor",17.02,10,10,0.878,0.792,1.034,0.882,1.145,0.898,0.955,0.925,1.029,9,0.95,0.04,0.271,0.45
"22100","UBE4A","ENSG00000110344",9354,"Q14139","ubiquitination factor E4A",4.5,3,4,0.806,0.754,0.675,1.028,0.804,1.135,1.211,0.884,0.947,9,0.92,0.06,0.072,0.201
"22102","SEPTIN6","ENSG00000125354",23157,"Q14141","septin 6",25.35,3,8,1.22,1.171,1.016,1.102,0.959,1.256,1.307,1.087,1.136,9,1.14,0.04,0.007,0.046
"22104","KEAP1","ENSG00000079999",9817,"Q14145","kelch like ECH associated protein 1",2.88,1,1,0.564,0.777,0.933,0.389,0.228,0.321,0.232,0.187,0.136,9,0.42,0.09,0.001,0.018
"22105","URB2","ENSG00000135763",9816,"Q14146","URB2 ribosome biogenesis homolog",2.17,3,3,1.158,1.009,0.934,0.705,1.064,0.752,0.863,1.13,1.302,9,0.99,0.07,0.648,0.789
"22108","SAFB2","ENSG00000130254",9667,"Q14151","scaffold attachment factor B2",21.93,11,18,0.764,0.982,1.045,1.228,0.845,1.303,0.965,0.948,0.68,9,0.97,0.07,0.117,0.266
"22109","EIF3A","ENSG00000107581",8661,"Q14152","eukaryotic translation initiation factor 3 subunit A",15.48,21,22,0.835,0.585,0.601,0.928,0.785,0.888,1.181,0.721,1.018,9,0.84,0.06,0.05,0.161
"22112","ARHGEF7","ENSG00000102606",8874,"Q14155","Rho guanine nucleotide exchange factor 7",5.98,3,5,1.124,0.904,0.821,0.941,0.713,1.025,1.273,0.772,0.963,9,0.95,0.06,0.255,0.431
"22114","UBAP2L","ENSG00000143569",9898,"Q14157","ubiquitin associated protein 2 like",19.87,16,16,0.886,0.979,0.962,1.133,1.15,1.077,0.963,1.176,0.99,9,1.04,0.03,0.518,0.689
"22116","SCRIB","ENSG00000180900",23513,"Q14160","scribble planar cell polarity protein",9.2,13,13,0.79,0.84,0.875,1.011,0.916,0.891,0.862,0.851,0.806,9,0.87,0.02,0,0.009
"22117","SCRIB","ENSG00000274287",23513,"Q14160","scribble planar cell polarity protein",9.2,13,13,0.79,0.84,0.875,1.011,0.916,0.891,0.862,0.851,0.806,9,0.87,0.02,0,0.009
"22118","GIT2","ENSG00000139436",9815,"Q14161","GIT ArfGAP 2",6.72,3,3,0.881,0.885,0.977,1.4,1.314,1.253,1.246,1.17,1.169,9,1.14,0.06,0.078,0.21
"22122","MLEC","ENSG00000110917",9761,"Q14165","malectin",21.92,7,7,0.999,1.101,1.084,0.936,0.986,0.964,0.797,0.963,0.841,9,0.96,0.03,0.196,0.368
"22125","POLA2","ENSG00000285816",23649,"Q14181","DNA polymerase alpha 2, accessory subunit",3.34,2,2,1.376,0.5,0.734,0.642,0.843,0.432,1.188,0.564,1.558,9,0.87,0.14,0.541,0.707
"22126","POLA2","ENSG00000014138",23649,"Q14181","DNA polymerase alpha 2, accessory subunit",3.34,2,2,1.376,0.5,0.734,0.642,0.843,0.432,1.188,0.564,1.558,9,0.87,0.14,0.541,0.707
"22130","DOCK1","ENSG00000150760",1793,"Q14185","dedicator of cytokinesis 1",2.63,3,5,0.864,0.785,0.883,0.936,1.094,0.809,1.394,0.957,1.2,9,0.99,0.07,0.81,0.891
"22131","TFDP1","ENSG00000198176",7027,"Q14186","transcription factor Dp-1",2.93,1,1,0,0.518,0.677,0.782,0.719,0.592,0,0.541,0,6,0.64,0.04,0.005,0.039
"22135","FHL2","ENSG00000115641",2274,"Q14192","four and a half LIM domains 2",6.09,2,2,0.971,0.85,0.762,0.86,1.52,0.646,0.963,0.848,1.224,9,0.96,0.09,0.984,0.992
"22136","CRMP1","ENSG00000072832",1400,"Q14194","collapsin response mediator protein 1",27.8,10,14,1.385,1.074,1.233,1.429,1.97,1.127,1.556,1.676,2.343,9,1.53,0.14,0.001,0.012
"22137","DPYSL3","ENSG00000113657",1809,"Q14195","dihydropyrimidinase like 3",39.47,14,17,1.06,0.806,0.323,0.426,0.455,0.947,1.164,1.047,1.453,9,0.85,0.13,0.268,0.446
"22138","MRPL58","ENSG00000167862",3396,"Q14197","mitochondrial ribosomal protein L58",31.07,6,6,0.892,1.28,1.16,0.897,1.026,0.853,0.675,0.926,0.743,9,0.94,0.06,0.231,0.406
"22141","ZMYM3","ENSG00000147130",9203,"Q14202","zinc finger MYM-type containing 3",0.73,1,1,0,0,1.359,2.048,1.444,0,0,0,0,3,1.62,0.22,0.068,0.193
"22142","DCTN1","ENSG00000204843",1639,"Q14203","dynactin subunit 1",23.4,27,29,1.269,0.921,0.734,0.879,0.877,0.929,1.367,1.077,1.46,9,1.06,0.08,0.381,0.562
"22143","DYNC1H1","ENSG00000197102",1778,"Q14204","dynein cytoplasmic 1 heavy chain 1",20.71,92,92,0.898,0.726,0.614,0.768,0.777,0.954,1.11,0.902,1.07,9,0.87,0.05,0.062,0.183
"22146","E2F2","ENSG00000282899",1870,"Q14209","E2F transcription factor 2",1.83,1,1,1.324,1.44,2.23,0.767,1.741,0.49,0.45,1.106,1.02,9,1.17,0.19,0.464,0.642
"22147","E2F2","ENSG00000007968",1870,"Q14209","E2F transcription factor 2",1.83,1,1,1.324,1.44,2.23,0.767,1.741,0.49,0.45,1.106,1.02,9,1.17,0.19,0.464,0.642
"22150","EIF2B1","ENSG00000111361",1967,"Q14232","eukaryotic translation initiation factor 2B subunit alpha",8.2,2,2,1.268,1.151,0.803,0.604,0.791,0.856,0.942,1.116,1.234,9,0.97,0.08,0.848,0.917
"22151","EIF4A2","ENSG00000156976",1974,"Q14240","eukaryotic translation initiation factor 4A2",24.32,1,10,0.922,0.962,0.877,1.127,1.135,1.221,1.169,1.223,1.177,9,1.09,0.04,0.117,0.266
"22152","ELOA","ENSG00000011007",6924,"Q14241","elongin A",8.02,6,6,1.203,1.749,1.253,1.305,1.166,1.353,1.036,1.248,0.945,9,1.25,0.08,0.024,0.102
"22156","CTTN","ENSG00000085733",2017,"Q14247","cortactin",40.36,20,20,0.983,1.271,0.97,0.941,1.047,1.204,0.932,1.343,1.088,9,1.09,0.05,0.19,0.359
"22157","CTTN","ENSG00000288401",2017,"Q14247","cortactin",40.36,20,20,0.983,1.271,0.97,0.941,1.047,1.204,0.932,1.343,1.088,9,1.09,0.05,0.19,0.359
"22158","ENDOG","ENSG00000167136",2021,"Q14249","endonuclease G",13.47,3,3,0.621,1.561,0.878,1.282,0.732,1.937,0.769,1.588,0.634,9,1.11,0.16,0.467,0.646
"22159","FLOT2","ENSG00000132589",2319,"Q14254","flotillin 2",26.64,10,10,0.85,1.105,1.069,1.049,0.907,1.037,0.902,1.158,0.805,9,0.99,0.04,0.372,0.554
"22160","RCN2","ENSG00000117906",5955,"Q14257","reticulocalbin 2",22.4,6,7,0.916,1.812,1.624,1.266,1.409,1.482,0.777,1.353,0.896,9,1.28,0.12,0.148,0.306
"22161","TRIM25","ENSG00000121060",7706,"Q14258","tripartite motif containing 25",15.56,9,9,1.443,0.846,0.658,0.746,0.676,1.009,1.515,0.885,1.326,9,1.01,0.11,0.947,0.972
"22163","PTK2B","ENSG00000120899",2185,"Q14289","protein tyrosine kinase 2 beta",1.88,1,2,0.694,0.833,0.806,1.103,1.336,1.127,0.938,1.359,1.136,9,1.04,0.08,0.892,0.942
"22166","FLNC","ENSG00000128591",2318,"Q14315","filamin C",46.42,97,112,0.787,0.85,0.996,1.077,1.434,0.916,0.846,1.203,1.118,9,1.03,0.07,0.677,0.808
"22167","FKBP8","ENSG00000105701",23770,"Q14318","FKBP prolyl isomerase 8",14.81,5,5,1.353,1.124,0.983,0.77,0.878,0.935,1.005,1.003,0.981,9,1,0.05,0.989,0.993
"22168","FAM50A","ENSG00000071859",9130,"Q14320","family with sequence similarity 50 member A",15.34,4,5,1.063,1.094,1.182,1.056,1.221,0.917,0.948,1.122,1.094,9,1.08,0.03,0.006,0.043
"22169","MYBPC2","ENSG00000086967",4606,"Q14324","myosin binding protein C, fast type",6.75,6,6,1.33,1.222,1.558,1.283,1.535,0.81,0.811,1.392,0.833,9,1.2,0.1,0.107,0.252
"22176","GNA13","ENSG00000120063",10672,"Q14344","G protein subunit alpha 13",7.69,2,2,0.833,1.273,0.673,1.118,0.733,1.446,1.367,1.023,0.934,9,1.04,0.09,0.673,0.806
"22177","GAMT","ENSG00000130005",2593,"Q14353","guanidinoacetate N-methyltransferase",5.51,1,1,0.771,0.776,1.275,1.386,1.29,0.834,0.827,0.772,0.769,9,0.97,0.09,0.46,0.639
"22178","GALE","ENSG00000117308",2582,"Q14376","UDP-galactose-4-epimerase",24.14,8,8,1.001,0.903,0.964,0.99,1.072,0.905,0.947,0.959,1.078,9,0.98,0.02,0.858,0.924
"22191","CAPRIN1","ENSG00000135387",4076,"Q14444","cell cycle associated protein 1",22.14,12,12,1.082,1.335,1.14,1.15,1.125,1.264,1.15,1.268,1.15,9,1.18,0.03,0,0.005
"22195","BECN1","ENSG00000126581",8678,"Q14457","beclin 1",9.11,4,4,0.743,0.474,0.686,0.857,1.108,0.585,0.916,0.752,1.183,9,0.81,0.08,0.12,0.271
"22199","RBM39","ENSG00000131051",9584,"Q14498","RNA binding motif protein 39",24.34,11,11,0.926,0.946,0.779,0.803,0.766,0.914,0.875,0.844,0.825,9,0.85,0.02,0,0.005
"22206","FAT1","ENSG00000083857",2195,"Q14517","FAT atypical cadherin 1",1.48,5,5,0.285,0.325,0.625,1.927,1.933,0.991,0.867,0.989,0.869,9,0.98,0.2,0.364,0.547
"22208","SCN5A","ENSG00000183873",6331,"Q14524","sodium voltage-gated channel alpha subunit 5",0.3,1,1,0,0,0,0.669,0,0,0,0,0,1,0,0,0,0
"22216","HNF4G","ENSG00000164749",3174,"Q14541","hepatocyte nuclear factor 4 gamma",3.92,1,1,1.255,0.751,0.762,1.073,1.278,1.045,1.745,1.238,2.076,9,1.25,0.14,0.087,0.221
"22219","PDIA5","ENSG00000065485",10954,"Q14554","protein disulfide isomerase family A member 5",17.73,8,8,0.689,1.122,0.698,0.924,0.72,1.363,0.746,1.026,0.618,9,0.88,0.08,0.009,0.054
"22221","DHX8","ENSG00000067596",1659,"Q14562","DEAH-box helicase 8",4.26,5,5,1.051,1.181,0.875,0.841,1.051,1.278,1.013,1.124,1.029,9,1.05,0.05,0.679,0.81
"22224","MCM6","ENSG00000076003",4175,"Q14566","minichromosome maintenance complex component 6",25.09,19,20,1.32,0.677,0.59,0.73,0.632,0.796,1.73,0.702,1.426,9,0.96,0.14,0.694,0.819
"22226","ITPR3","ENSG00000096433",3710,"Q14573","inositol 1,4,5-trisphosphate receptor type 3",2.25,4,4,0.489,0.526,0.352,0.244,0.508,0.39,0.489,0.729,0.637,9,0.48,0.05,0,0.008
"22237","ZNF273","ENSG00000198039",10793,"Q14593","zinc finger protein 273",2.46,1,1,0,0.814,0.799,1.723,1.042,1.735,0,1.044,0,6,1.19,0.17,0.792,0.881
"22240","ITIH4","ENSG00000055955",3700,"Q14624","inter-alpha-trypsin inhibitor heavy chain 4",2.04,2,2,1.338,1.904,4.257,4.57,2.595,2.02,1.212,1.141,0.805,9,2.2,0.46,0.039,0.137
"22249","IRF3","ENSG00000126456",3661,"Q14653","interferon regulatory factor 3",2.11,1,1,0.754,0.512,0.77,1.54,1.482,1.013,1.49,0.97,1.433,9,1.11,0.13,0.584,0.741
"22254","KIAA0100","ENSG00000007202",9703,"Q14667","KIAA0100",1.97,3,3,0.875,0,1.214,1.542,0.915,0,1.097,0,0.65,6,1.05,0.13,0.719,0.835
"22255","TRIP12","ENSG00000153827",9320,"Q14669","thyroid hormone receptor interactor 12",11.19,16,17,0.989,0.978,1.217,1.006,1.103,0.968,0.899,1.001,0.978,9,1.02,0.03,0.637,0.782
"22256","PUM1","ENSG00000134644",9698,"Q14671","pumilio RNA binding family member 1",9.02,4,9,1.254,2.09,1.067,0.626,0.602,1.284,0.825,1.209,0.796,9,1.08,0.15,0.77,0.867
"22257","ESPL1","ENSG00000135476",9700,"Q14674","extra spindle pole bodies like 1, separase",0.47,1,1,0.218,0.676,0,0,0,0.87,0.28,2.042,0.659,6,0.79,0.27,0.157,0.318
"22258","MDC1","ENSG00000234012",9656,"Q14676","mediator of DNA damage checkpoint 1",11.78,13,13,1.013,0.923,0.88,1.059,0.833,1.111,1.436,0.647,0.753,9,0.96,0.08,0.223,0.398
"22259","MDC1","ENSG00000231135",9656,"Q14676","mediator of DNA damage checkpoint 1",11.78,13,13,1.013,0.923,0.88,1.059,0.833,1.111,1.436,0.647,0.753,9,0.96,0.08,0.223,0.398
"22260","MDC1","ENSG00000206481",9656,"Q14676","mediator of DNA damage checkpoint 1",11.78,13,13,1.013,0.923,0.88,1.059,0.833,1.111,1.436,0.647,0.753,9,0.96,0.08,0.223,0.398
"22261","MDC1","ENSG00000228575",9656,"Q14676","mediator of DNA damage checkpoint 1",11.78,13,13,1.013,0.923,0.88,1.059,0.833,1.111,1.436,0.647,0.753,9,0.96,0.08,0.223,0.398
"22262","MDC1","ENSG00000137337",9656,"Q14676","mediator of DNA damage checkpoint 1",11.78,13,13,1.013,0.923,0.88,1.059,0.833,1.111,1.436,0.647,0.753,9,0.96,0.08,0.223,0.398
"22263","MDC1","ENSG00000225589",9656,"Q14676","mediator of DNA damage checkpoint 1",11.78,13,13,1.013,0.923,0.88,1.059,0.833,1.111,1.436,0.647,0.753,9,0.96,0.08,0.223,0.398
"22264","MDC1","ENSG00000237095",9656,"Q14676","mediator of DNA damage checkpoint 1",11.78,13,13,1.013,0.923,0.88,1.059,0.833,1.111,1.436,0.647,0.753,9,0.96,0.08,0.223,0.398
"22265","MDC1","ENSG00000224587",9656,"Q14676","mediator of DNA damage checkpoint 1",11.78,13,13,1.013,0.923,0.88,1.059,0.833,1.111,1.436,0.647,0.753,9,0.96,0.08,0.223,0.398
